guten_bid,guten_bname,guten_blan,guten_aid,guten_aname,guten_aalias,good_isbn,good_series,good_lan,good_author_id,good_bid,good_workid,good_title,good_title_without_series,good_aname,good_original_title,good_title_list,guten_bname_list,new_match_good,new_match_guten
10955,"The Gospels in the Second Century
An Examination of the Critical Part of a Work Entitled 'Supernatural Religion'",en,3416,"Sanday, W. (William)","['Sanday, Rev. Dr. (William)', 'Sanday, William']",,[],,868598,19320855,27085830,The Gospels in the Second Century An Examination of the Critical Part of a Work Entitled 'Supernatural Religion',The Gospels in the Second Century An Examination of the Critical Part of a Work Entitled 'Supernatural Religion',William Sanday,,"['gospels', 'second', 'century', 'examination', 'critical', 'part', 'work', 'entitled', 'supernatural', 'religion']","['gospels', 'second', 'century', 'examination', 'critical', 'part', 'work', 'entitled', 'supernatural', 'religion']",[19320855],[10955]
10959,The Visits of Elizabeth,en,2845,"Glyn, Elinor","['Glyn, Elinor Sutherland']",1434621855,['589990'],eng,249153,2991032,3021493,The Visits of Elizabeth,The Visits of Elizabeth,Elinor Glyn,The Visits of Elizabeth,"['visits', 'elizabeth']","['visits', 'elizabeth']","[2991032, 18740958]",[10959]
10966,The Ghost Pirates,en,4932,"Hodgson, William Hope",[],0486811123,[],,51422,29771250,1925957,The Ghost Pirates,The Ghost Pirates,William Hope Hodgson,The Ghost Pirates,"['ghost', 'pirates']","['ghost', 'pirates']","[29771250, 634043, 810085, 8863475]",[10966]
10972,"With the ""Die-Hards"" in Siberia",en,25162,"Ward, John",[],,[],eng,15429369,21222124,40554059,With the Die-Hards in Siberia,With the Die-Hards in Siberia,John    Ward,,"['die', 'hards', 'siberia']","['die', 'hards', 'siberia']",[21222124],[10972]
10977,"The Grizzly King
A Romance of the Wild",en,723,"Curwood, James Oliver",[],,[],,66979,9806653,1060248,The Grizzly King: a Romance of the Wild,The Grizzly King: a Romance of the Wild,James Oliver Curwood,The Grizzly King: A Romance of the Wild,"['grizzly', 'king', 'romance', 'wild']","['grizzly', 'king', 'romance', 'wild']",[9806653],[10977]
10988,The Devil's Admiral,en,9827,"Moore, Frederick Ferdinand","['Moore, Frederick F. (Frederick Ferdinand)']",1409975193,[],,4039181,8661484,13532923,The Devil's Admiral,The Devil's Admiral,Frederick F. Moore,,"['devil', 'admiral']","['devil', 'admiral']",[8661484],[10988]
10991,Dogs and All about Them,en,3440,"Leighton, Robert",[],,[],,119117,6422040,6611259,Dogs and All about Them,Dogs and All about Them,Robert Leighton,Dogs and All about Them,['dogs'],['dogs'],[6422040],[10991]
11012,The Autobiography of an Ex-Colored Man,en,6490,"Johnson, James Weldon","['Johnson, J. W. (James Weldon)']",1598531131,[],,29617,11164810,1853196,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man,James Weldon Johnson,The Autobiography of an Ex-Colored Man,"['autobiography', 'ex', 'colored', 'man']","['autobiography', 'ex', 'colored', 'man']","[8438243, 10364646, 11278023, 130312, 11164810, 752938, 52478, 20067693, 2428078, 1369997, 6215089, 5429527, 18918462]",[11012]
11028,Philippine Folk-Tales,en,12153,"Bayliss, Clara Kern",[],,[],,2555160,19201589,1476742,Philippine Folk-Tales,Philippine Folk-Tales,Clara Kern Bayliss,Philippine Folk-Tales,"['philippine', 'folk', 'tales']","['philippine', 'folk', 'tales']",[19201589],[11028]
11033,"The Angel over the Right Shoulder
The Beginning of a New Year",en,21642,"Trusta, H.","['Phelps, Elizabeth Stuart, 1815-1852', 'Phelps, Elizabeth Wooster Stuart']",,[],,13667,8207905,13055007,"The angel over the right shoulder; or, The beginning of a new year","The angel over the right shoulder; or, The beginning of a new year",Elizabeth Stuart Phelps,"The Angel over the Right Shoulder, or, The Beginning of a New Year","['angel', 'right', 'shoulder', 'beginning', 'new', 'year']","['angel', 'right', 'shoulder', 'beginning', 'new', 'year']",[8207905],[11033]
11043,Midnight,en,2251,"Cohen, Octavus Roy",[],1333200005,[],,321565,31525696,52210845,Midnight,Midnight,Octavus Roy Cohen,,['midnight'],['midnight'],"[31525696, 6939159]",[11043]
11052,The Custom of the Country,en,108,"Wharton, Edith","['Olivieri, David', 'Wharton, Edith Newbold Jones']",0140181903,[],,16,960630,2536975,The Custom of the Country,The Custom of the Country,Edith Wharton,The Custom of the Country,"['custom', 'country']","['custom', 'country']","[1492291, 10653093, 26950, 18936191, 6473254, 6532713, 763401, 1277163, 12755495, 30962826, 15872240, 534801, 92082, 960630, 1410553, 18881850, 13151615]",[11052]
11060,The Aspirations of Jean Servien,en,590,"France, Anatole","['Thibault, Jacques-Anatole-François', 'Thibault, Jacques-Anatole-Francois', 'Thibault, Anatole']",,[],eng,48535,10796250,2076075,The Aspirations of Jean Servien,The Aspirations of Jean Servien,Anatole France,Les Desirs de Jean Servien,"['aspirations', 'jean', 'servien']","['aspirations', 'jean', 'servien']",[10796250],[11060]
11074,The Damned,en,1139,"Blackwood, Algernon",[],,[],eng,38840,9278450,795966,The Damned,The Damned,Algernon Blackwood,The Damned,['damned'],['damned'],"[9278450, 6324645]",[11074]
11092,The History of Tom Thumb and Other Stories.,en,141,Anonymous,['Anonyme'],,[],,5158478,8188696,13035425,The History of Tom Thumb and Other Stories.,The History of Tom Thumb and Other Stories.,Anonymous,,"['history', 'tom', 'thumb', 'stories']","['history', 'tom', 'thumb', 'stories']",[8188696],[11092]
11093,Trailin'!,en,2319,"Brand, Max","['Faust, Frederick Schiller', 'Frederick, John']",1340974959,[],,21609,29692766,1370326,Trailin'!,Trailin'!,Max Brand,Trailin'!,['trailin'],['trailin'],"[1425309, 29692766]",[11093]
11095,Fun and Nonsense,en,21664,"Bonte, Willard","['Bonte, George Willard']",,[],eng,5977464,17618843,24584114,Fun and Nonsense,Fun and Nonsense,George Willard Bonte,,"['fun', 'nonsense']","['fun', 'nonsense']",[17618843],[11095]
11097,Young Robin Hood,en,424,"Fenn, George Manville","['Fenn, G. Manville (George Manville)', 'Fenn, G. M. (George Manville)']",,[],,549971,19072790,3229133,Young Robin Hood,Young Robin Hood,George Manville Fenn,Young Robin Hood,"['young', 'robin', 'hood']","['young', 'robin', 'hood']","[8267811, 3196044, 19072790]",[11097]
11098,Happy and Gay Marching Away,en,301,Unknown,[],,[],eng,4699102,20456312,13060706,Happy and Gay Marching Away,Happy and Gay Marching Away,Unknown,,"['happy', 'gay', 'marching', 'away']","['happy', 'gay', 'marching', 'away']",[20456312],[11098]
11104,In Morocco,en,108,"Wharton, Edith","['Olivieri, David', 'Wharton, Edith Newbold Jones']",1433254328,[],,16,14448979,2610679,In Morocco,In Morocco,Edith Wharton,In Morocco,['morocco'],['morocco'],"[19092849, 6580434, 14448979, 105974, 1052889]","[11104, 39042]"
11110,"A Countess from Canada
A Story of Life in the Backwoods",en,13230,"Marchant, Bessie",[],,[],,620264,18916254,26922173,A Countess from Canada A Story of Life in the Backwoods,A Countess from Canada A Story of Life in the Backwoods,Bessie Marchant,,"['countess', 'canada', 'story', 'life', 'backwoods']","['countess', 'canada', 'story', 'life', 'backwoods']",[18916254],[11110]
11116,The Wonderful Bed,en,9973,"Knevels, Gertrude",[],1437502024,[],,1487493,3520959,3562669,The Wonderful Bed,The Wonderful Bed,Gertrude Knevels,The Wonderful Bed,"['wonderful', 'bed']","['wonderful', 'bed']",[3520959],[11116]
11127,The Case of Jennie Brice,en,840,"Rinehart, Mary Roberts",[],1441720413,[],,85587,9813980,2171775,The Case of Jenni Brice,The Case of Jenni Brice,Mary Roberts Rinehart,The Case of Jennie Brice,"['case', 'jenni', 'brice']","['case', 'jennie', 'brice']","[8909248, 9618017, 2166248, 11986570, 19125323, 22745324, 9813980, 6856543]",[11127]
11128,The Red Thumb Mark,en,6268,"Freeman, R. Austin (Richard Austin)","['Freeman, Richard Austin']",,['229826'],eng,80206,10837267,5491241,The Red Thumb Mark,The Red Thumb Mark,R. Austin Freeman,The Red Thumb Mark,"['red', 'thumb', 'mark']","['red', 'thumb', 'mark']","[9027372, 1953389, 5423698, 10837267, 1953394, 19460508]",[11128]
11130,Greek in a Nutshell,en,8539,"Strong, James",[],,[],,85938,10226339,15126145,Greek in a Nutshell,Greek in a Nutshell,James Strong,,"['greek', 'nutshell']","['greek', 'nutshell']",[10226339],[11130]
11136,A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,en,1369,"Rousseau, Jean-Jacques","['Rousseau, J. J. (Jean-Jacques)', 'Rousseau, Jean Jacques']",,[],en-US,7994,18297591,354594,A Discourse Upon the Origin and the Foundation Of The Inequality Among Mankind,A Discourse Upon the Origin and the Foundation Of The Inequality Among Mankind,Jean-Jacques Rousseau,Discours sur l'origine et les fondements de l'inegalite parmi les hommes,"['discourse', 'upon', 'origin', 'foundation', 'inequality', 'among', 'mankind']","['discourse', 'upon', 'origin', 'foundation', 'inequality', 'among', 'mankind']",[18297591],[11136]
11138,Comic History of England,en,4393,"Nye, Bill","['Nye, Edgar Wilson', 'Nye, Edgar W. (Edgar Wilson)']",1544891873,[],,148046,34699007,13476563,Comic History of England,Comic History of England,Bill Nye,Bill Nye's History of England from the Druids to the Reign of Henry VIII,"['comic', 'history', 'england']","['comic', 'history', 'england']","[15100203, 34699007]",[11138]
11141,A Summer in Leslie Goldthwaite's Life.,en,6612,"Whitney, A. D. T. (Adeline Dutton Train)","['Whitney, Mrs. A. D. T.', 'Whitney, Adeline Dutton Train']",1406999598,[],,1349855,6776904,6977560,A Summer in Leslie Goldthwaite's Life,A Summer in Leslie Goldthwaite's Life,A.D.T. Whitney,,"['summer', 'leslie', 'goldthwaite', 'life']","['summer', 'leslie', 'goldthwaite', 'life']",[6776904],[11141]
11143,Mary Marie,en,1024,"Porter, Eleanor H. (Eleanor Hodgman)","['Porter, Eleanor Hodgman']",1442949635,[],,5704652,11226010,986244,Mary Marie,Mary Marie,H. Porter Eleanor,Mary Marie,"['mary', 'marie']","['mary', 'marie']","[1000753, 11226010]",[11143]
11144,Somewhere in France,en,289,"Davis, Richard Harding",[],1341034038,[],,121294,29695665,3089568,Somewhere in France,Somewhere in France,Richard Harding Davis,Somewhere in France,"['somewhere', 'france']","['somewhere', 'france']",[29695665],[11144]
11145,"The Discovery of Yellowstone Park
Journal of the Washburn Expedition to the Yellowstone and Firehole Rivers in the Year 1870",en,14814,"Langford, Nathaniel Pitt",[],0803257058,[],,375101,2287861,2294068,The Discovery of Yellowstone Park: Journal of the Washburn Expedition to the Yellowstone and Firehole Rivers in the Year 1870,The Discovery of Yellowstone Park: Journal of the Washburn Expedition to the Yellowstone and Firehole Rivers in the Year 1870,Nathaniel Pitt Langford,The Discovery of Yellowstone Park: Diary of the Washburn Expedition to the Yellowstone and Firehole Rivers in the Year 1870 (National Parks),"['discovery', 'yellowstone', 'park', 'journal', 'washburn', 'expedition', 'yellowstone', 'firehole', 'rivers', 'year', 'one thousand, eight hundred and seventy']","['discovery', 'yellowstone', 'park', 'journal', 'washburn', 'expedition', 'yellowstone', 'firehole', 'rivers', 'year', 'one thousand, eight hundred and seventy']",[2287861],[11145]
11146,The Expedition of the Donner Party and its Tragic Fate,en,1003,"Houghton, Eliza Poor Donner","['Donner, Eliza Poor']",0803273045,[],,8287218,1132719,1119932,The Expedition of the Donner Party and Its Tragic Fate,The Expedition of the Donner Party and Its Tragic Fate,Eliza P. Donner Houghton,The Expedition of the Donner Party and Its Tragic Fate,"['expedition', 'donner', 'party', 'tragic', 'fate']","['expedition', 'donner', 'party', 'tragic', 'fate']",[1132719],[11146]
11162,The Story of Little Black Mingo,en,5264,"Bannerman, Helen","['Watson, Helen Brodie Cowan']",1406507709,[],eng,84922,2067866,2073094,The Story of Little Black Mingo,The Story of Little Black Mingo,Helen Bannerman,The Story of Little Black Mingo,"['story', 'little', 'black', 'mingo']","['story', 'little', 'black', 'mingo']",[2067866],[11162]
11172,Abraham Lincoln: A Play,en,47,"Drinkwater, John",[],1534625747,[],,15383483,30683751,51223917,Abraham Lincoln: A Play,Abraham Lincoln: A Play,MR John Drinkwater,,"['abraham', 'lincoln', 'play']","['abraham', 'lincoln', 'play']","[30475744, 30683751]",[11172]
11212,Modern India,en,13277,"Curtis, William Eleroy","['Curtis, Wm. E. (William Eleroy)']",,[],,1758824,19039339,6222587,Modern India,Modern India,William Eleroy Curtis,Modern India,"['modern', 'india']","['modern', 'india']",[19039339],[11212]
11221,The Bent Twig,en,3595,"Fisher, Dorothy Canfield","['Fisher, Mrs. John Redwood', 'Fisher, Dorothea Frances Canfield', 'Canfield, Dorothy']",0821411853,[],,199175,1649025,1643513,The Bent Twig,The Bent Twig,Dorothy Canfield Fisher,Bent Twig: Dorothy Canfield,"['bent', 'twig']","['bent', 'twig']",[1649025],[11221]
11224,Utilitarianism,en,1633,"Mill, John Stuart","['Mill, J. S. (John Stuart)']",,[],eng,57651,35724180,1086777,Utilitarianism,Utilitarianism,John Stuart Mill,Utilitarianism,['utilitarianism'],['utilitarianism'],"[17615942, 273962, 584637, 35724180, 273974, 1087260, 6416765]",[11224]
11231,"Bartleby, the Scrivener: A Story of Wall-Street",en,371,"Melville, Herman","['Melville, Hermann']",,[],eng,1624,25091398,15956900,Bartleby the Scrivener: a tale of Wall Street,Bartleby the Scrivener: a tale of Wall Street,Herman Melville,"Bartleby, the Scrivener: A Story of Wall Street","['bartleby', 'scrivener', 'tale', 'wall', 'street']","['bartleby', 'scrivener', 'story', 'wall', 'street']","[17365664, 6606433, 19437859, 25091398, 21473574, 18052044, 17086419, 22205819, 1281436]",[11231]
11232,Bullets & Billets,en,10429,"Bairnsfather, Bruce","['Bairnsfather, Charles Bruce']",,[],eng,1747436,23437420,15890290,Bullets and Billets,Bullets and Billets,Bruce Bairnsfather,,"['bullets', 'billets']","['bullets', 'billets']",[23437420],[11232]
11240,The Apartment Next Door,en,23734,"Johnston, William","['Johnston, William Andrew']",142644821X,[],,1682277,3944736,3990359,The Apartment Next Door,The Apartment Next Door,William Andrew Johnston,The Apartment Next Door,"['apartment', 'next', 'door']","['apartment', 'next', 'door']",[3944736],[11240]
11247,The Exploits of Brigadier Gerard,en,938,"Doyle, Arthur Conan","['Conan Doyle, Arthur, Sir', 'Doyle, Sir Arthur Conan', 'Doyle, A. Conan']",,[],eng,2448,36421870,52499409,The Exploits of Brigadier Gerard,The Exploits of Brigadier Gerard,Arthur Conan Doyle,,"['exploits', 'brigadier', 'gerard']","['exploits', 'brigadier', 'gerard']","[52675, 28277673, 36421870, 7928819, 7996726, 8117047]",[11247]
11252,"Martin Hewitt, Investigator",en,1766,"Morrison, Arthur",[],,[],eng,95961,27810373,3057935,"Martin Hewitt, Investigator","Martin Hewitt, Investigator",Arthur Morrison,"Martin Hewitt, Investigator","['martin', 'hewitt', 'investigator']","['martin', 'hewitt', 'investigator']","[3027361, 27810373]",[11252]
11255,"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Arkansas Narratives, Part 1",en,993,United States. Work Projects Administration,"['Administration, Work Projects']",1426448295,[],,235639,1223422,1211921,Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves: Vol. II Arkansas Narratives Part 1,Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves: Vol. II Arkansas Narratives Part 1,Work Projects Administration,"Slave Narratives: a Folk History of Slavery in the United States From Interviews with Former Slaves: Arkansas Narratives, Part 1","['slave', 'narratives', 'folk', 'history', 'slavery', 'united', 'states', 'interviews', 'former', 'slaves', 'vol', 'ii', 'arkansas', 'narratives', 'part', 'one']","['slave', 'narratives', 'folk', 'history', 'slavery', 'united', 'states', 'interviews', 'former', 'slaves', 'arkansas', 'narratives', 'part', 'one']",[1223422],"[13700, 21508, 12297, 28170, 13579, 22166, 11544, 30967, 11422, 11552, 13602, 28973, 20785, 35379, 18484, 18485, 35380, 35381, 36020, 36022, 11709, 22976, 25154, 11485, 18912, 30576, 31219, 19446, 11255]"
11259,Polly and the Princess,en,10561,"Dowd, Emma C.",[],,[],,2882701,6357635,6544381,Polly and the Princess,Polly and the Princess,Emma C. Dowd,Polly and the Princess,"['polly', 'princess']","['polly', 'princess']",[6357635],[11259]
11304,The Lake,en,871,"Moore, George Augustus","['Rhone, Lady', 'Moore, George Augustus']",0843956208,[],,83937,145155,2839865,The Lake,The Lake,Richard Laymon,The Lake,['lake'],['lake'],"[145155, 1582605, 7943255]",[11304]
11319,The Fairy Godmothers and Other Tales,en,5758,"Gatty, Alfred, Mrs.","['Gatty, Margaret Scott']",1419161784,[],,480209,157806,6521473,The Fairy Godmothers and Other Tales,The Fairy Godmothers and Other Tales,Mrs. Alfred Gatty,The Fairy Godmothers and Other Tales,"['fairy', 'godmothers', 'tales']","['fairy', 'godmothers', 'tales']",[157806],[11319]
11323,"Caleb Williams; Or, Things as They Are",en,2601,"Godwin, William","['Baldwin, Edward']",,[],eng,113910,36443225,189118,Caleb Williams Or Things as They Are,Caleb Williams Or Things as They Are,William Godwin,Things as They Are; or The Adventures of Caleb Williams,"['caleb', 'williams', 'things']","['caleb', 'williams', 'things']","[799232, 36443225]",[11323]
11324,This Is the End,en,10138,"Benson, Stella","[""Anderson, J. C. O'Gorman, Mrs.""]",0992422086,[],en-GB,373155,22151118,41496219,This is the End,This is the End,Stella Benson,,['end'],['end'],[22151118],[11324]
11325,The Happiest Time of Their Lives,en,673,"Miller, Alice Duer","['Duer, Alice']",1421800020,[],,232611,7686692,7109497,The Happiest Time of Their Lives,The Happiest Time of Their Lives,Alice Duer Miller,,"['happiest', 'time', 'lives']","['happiest', 'time', 'lives']",[7686692],[11325]
11327,English Literature: Modern,en,17277,"Mair, G. H. (George Herbert)","['Mair, George Herbert']",,[],,7494505,20437079,27249751,English Literature: Modern,English Literature: Modern,G. H. (George Herbert) Mair,,"['english', 'literature', 'modern']","['english', 'literature', 'modern']",[20437079],[11327]
11328,The Hunted Woman,en,723,"Curwood, James Oliver",[],,[],,66979,19389299,1835941,The Hunted Woman,The Hunted Woman,James Oliver Curwood,The Hunted Woman,"['hunted', 'woman']","['hunted', 'woman']","[18652664, 19389299]",[11328]
11335,"The Einstein Theory of Relativity
A Concise Statement",en,2469,"Lorentz, H. A. (Hendrik Antoon)","['Lorentz, Hendrik Antoon']",,[],eng,4634784,18872327,4993190,The Einstein Theory of Relativity A Concise Statement,The Einstein Theory of Relativity A Concise Statement,Hendrik Antoon Lorentz,The Einstein Theory of Relativity A Concise Statement,"['einstein', 'theory', 'relativity', 'concise', 'statement']","['einstein', 'theory', 'relativity', 'concise', 'statement']",[18872327],[11335]
11345,Education as Service,en,24880,"Krishnamurti, J. (Jiddu)","['Krishnamurti, Jiddu', 'Alcyone']",,[],,7447253,19018999,27310137,Education as Service,Education as Service,J. (Jiddu) Krishnamurti,,"['education', 'service']","['education', 'service']","[6092053, 19018999]",[11345]
11354,"The Irrational Knot
Being the Second Novel of His Nonage",en,1657,"Shaw, Bernard","['Shaw, George Bernard', 'Shaw, Bernhard']",,[],,5217,19076337,2986488,The Irrational Knot Being the Second Novel of His Nonage,The Irrational Knot Being the Second Novel of His Nonage,George Bernard Shaw,The Irrational Knot,"['irrational', 'knot', 'second', 'novel', 'nonage']","['irrational', 'knot', 'second', 'novel', 'nonage']",[19076337],[11354]
11357,Jimgrim and Allah's Peace,en,1178,"Mundy, Talbot","['Gribbon, William Lancaster']",1557424810,['680449'],,92626,1715564,2668083,Jimgrim and Allah's Peace,Jimgrim and Allah's Peace,Talbot Mundy,,"['jimgrim', 'allah', 'peace']","['jimgrim', 'allah', 'peace']",[1715564],[11357]
11371,The Moorland Cottage,en,887,"Gaskell, Elizabeth Cleghorn","['Gaskell, E. C. (Elizabeth Cleghorn)', 'Gaskell, Mrs.', 'Stevenson, Elizabeth', 'Mills, Cotton Mather', 'Gaskell, Elizabeth Cleghorn Stevenson']",1843912023,[],en-US,1413437,9852751,21949627,The Moorland Cottage,The Moorland Cottage,Elizabeth Gaskell,,"['moorland', 'cottage']","['moorland', 'cottage']","[10742932, 14334166, 9852751]",[11371]
11372,The Nine-Tenths,en,14785,"Oppenheim, James",[],0839814534,[],,483496,15401400,21057577,The Nine-Tenths,The Nine-Tenths,James Oppenheim,,"['nine', 'tenths']","['nine', 'tenths']",[15401400],[11372]
11373,Through the Wall,en,3768,"Moffett, Cleveland",[],,[],,5001658,11901069,16860231,Through the Wall,Through the Wall,Cleveland Moffet,,['wall'],['wall'],"[11901069, 5780302]",[11373]
11377,The Man Whom the Trees Loved,en,1139,"Blackwood, Algernon",[],1428055614,[],,38840,2085055,2943483,The Man Whom the Trees Loved,The Man Whom the Trees Loved,Algernon Blackwood,The Man Whom the Trees Loved,"['man', 'trees', 'loved']","['man', 'trees', 'loved']","[16170816, 2916266, 2650232, 2085055]",[11377]
11394,Fighting in Flanders,en,5021,"Powell, E. Alexander (Edward Alexander)","['Powell, E. A. (Edward Alexander)', 'Powell, Edward Alexander']",,[],,188550,9181073,3760418,Fighting in Flanders,Fighting in Flanders,E. Alexander Powell,Fighting in Flanders,"['fighting', 'flanders']","['fighting', 'flanders']",[9181073],[11394]
11395,Cheerful—By Request,en,2299,"Ferber, Edna",[],1598187805,[],,86241,257441,1263077,"Cheerful, by Request","Cheerful, by Request",Edna Ferber,Cheerful -- By Request,"['cheerful', 'request']","['cheerful', 'request']","[257441, 11948379]",[11395]
11413,"The Refugees
A Tale of Two Continents",en,938,"Doyle, Arthur Conan","['Conan Doyle, Arthur, Sir', 'Doyle, Sir Arthur Conan', 'Doyle, A. Conan']",1426455224,[],,2448,2031078,2352691,The Refugees - A Tale of Two Continents,The Refugees - A Tale of Two Continents,Arthur Conan Doyle,The Refugees: A Tale of Two Continents,"['refugees', 'tale', 'two', 'continents']","['refugees', 'tale', 'two', 'continents']",[2031078],[11413]
11438,The Willows,en,1139,"Blackwood, Algernon",[],,[],,38840,28094057,2588003,The Willows,The Willows,Algernon Blackwood,The Willows,['willows'],['willows'],"[36108832, 20599233, 28094057, 25650729, 18627915, 2575179, 6320683, 16414031, 1335601, 30231252, 12076757, 35783933, 6328829, 22209086, 16236255]",[11438]
11451,The Rome Express,en,5906,"Griffiths, Arthur","['Griffiths, Arthur George Frederick']",1406588415,[],,122014,3418495,3458948,The Rome Express,The Rome Express,Arthur Griffiths,The Rome Express,"['rome', 'express']","['rome', 'express']",[3418495],[11451]
11485,"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Kansas Narratives",en,993,United States. Work Projects Administration,"['Administration, Work Projects']",,[],,235639,20441625,6612932,Slave Narratives: a Folk History of Slavery in the United States From Interviews with Former Slaves Kansas Narratives,Slave Narratives: a Folk History of Slavery in the United States From Interviews with Former Slaves Kansas Narratives,Work Projects Administration,Slave Narratives: a Folk History of Slavery in the United StatesFrom Interviews with Former SlavesKansas Narratives,"['slave', 'narratives', 'folk', 'history', 'slavery', 'united', 'states', 'interviews', 'former', 'slaves', 'kansas', 'narratives']","['slave', 'narratives', 'folk', 'history', 'slavery', 'united', 'states', 'interviews', 'former', 'slaves', 'kansas', 'narratives']",[20441625],[11485]
11496,Poetry,en,243,"Quiller-Couch, Arthur","['Quiller-Couch, Arthur Thomas', 'Quiller-Couch, A. T. (Arthur Thomas)', 'Quiller-Couch, Sir Arthur Thomas', 'Q']",,[],,3124559,5989936,27141873,Poetry,Poetry,Arthur Quiller-Couch,,['poetry'],['poetry'],[5989936],[11496]
11526,"Summer on the Lakes, in 1843",en,8218,"Fuller, Margaret","['Fuller, Sara Margarita', 'Fuller, S. Margaret (Sarah Margaret)', 'Ossoli, Margaret Fuller', 'Ossoli, Sara Margarita']",0252061640,[],,113907,524250,512116,"Summer on the Lakes, in 1843","Summer on the Lakes, in 1843",Margaret Fuller,"Summer on the Lakes, in 1843 (Prairie State Books)","['summer', 'lakes', 'one thousand, eight hundred and forty-three']","['summer', 'lakes', 'one thousand, eight hundred and forty-three']",[524250],[11526]
11547,Blackfoot Lodge Tales: The Story of a Prairie People,en,3877,"Grinnell, George Bird",[],1447486854,[],eng,212779,17198305,2269906,"Blackfoot Lodge Tales, the Story of a Prairie People","Blackfoot Lodge Tales, the Story of a Prairie People",George Bird Grinnell,Blackfoot Lodge Tales,"['blackfoot', 'lodge', 'tales', 'story', 'prairie', 'people']","['blackfoot', 'lodge', 'tales', 'story', 'prairie', 'people']",[17198305],[11547]
11555,Our Farm of Four Acres and the Money we Made by it,en,4239,"Coulton, Miss",[],,[],eng,3402357,23275247,978746,Our Farm of Four Acres and the Money we Made by it,Our Farm of Four Acres and the Money we Made by it,Miss Coulton,Our Farm of Four Acres and the Money We Made By It,"['farm', 'four', 'acres', 'money', 'made']","['farm', 'four', 'acres', 'money', 'made']",[23275247],[11555]
11556,Facing the Flag,en,659,"Verne, Jules","['Verne, Jules Gabriel', 'Verne, Jules Gabriël', 'Verne, Júlio']",8184568312,[],,696805,4760341,1485420,Facing the Flag,Facing the Flag,Jules Verne,,"['facing', 'flag']","['facing', 'flag']","[2170810, 8692045, 4760341]",[11556]
11562,Inquiries into Human Faculty and Its Development,en,11104,"Galton, Francis","['Galton, Francis, Sir']",,[],,3191106,8573782,13442614,Inquiries into Human Faculty and Its Development,Inquiries into Human Faculty and Its Development,Francis Galton,,"['inquiries', 'human', 'faculty', 'development']","['inquiries', 'human', 'faculty', 'development']",[8573782],[11562]
11582,Old Greek Stories,en,13414,"Baldwin, James",[],,[],eng,3463650,8703859,44146,Old Greek Stories,Old Greek Stories,James  Baldwin,Old Greek Stories,"['old', 'greek', 'stories']","['old', 'greek', 'stories']","[18867849, 8703859, 44823]",[11582]
11603,The House of Cobwebs and Other Stories,en,77,"Gissing, George","['Gissing, George Robert']",1406810045,[],,4532116,6891531,7112400,The House of Cobwebs and Other Stories,The House of Cobwebs and Other Stories,George Gissing,,"['house', 'cobwebs', 'stories']","['house', 'cobwebs', 'stories']",[6891531],[11603]
11610,Madam Crowl's Ghost and the Dead Sexton,en,4224,"Le Fanu, Joseph Sheridan","['Fanu, Joseph Sheridan Le', 'Fanu, J. Sheridan Le', 'LeFanu, J. S. (Joseph Sheridan)']",,[],,26930,6348691,3497592,Madam Crowl's Ghost and the Dead Sexton,Madam Crowl's Ghost and the Dead Sexton,J. Sheridan Le Fanu,Madam Crowl's Ghost and the Dead Sexton,"['madam', 'crowl', 'ghost', 'dead', 'sexton']","['madam', 'crowl', 'ghost', 'dead', 'sexton']",[6348691],[11610]
11620,My Brilliant Career,en,17344,"Franklin, Miles","['Franklin, Stella Maria Miles Lampe', 'Franklin, Stella Maria Sarah Miles']",1600963781,[],,68990,119042,114613,My Brilliant Career,My Brilliant Career,Miles Franklin,My Brilliant Career,"['brilliant', 'career']","['brilliant', 'career']","[15806080, 119042, 10188102, 19348938, 1983756, 12904525, 16566383, 21956337, 6041725, 34739704, 270074, 270076, 23534685, 1981726]",[11620]
11628,Gossip in a Library,en,2448,"Gosse, Edmund","['Gosse, Edmund W. (Edmund William)', 'Gosse, Edmund William, Sir']",0403007739,[],,4668,3697251,2679141,"Gossip in a Library,","Gossip in a Library,",Edmund Gosse,Gossip in a Library,"['gossip', 'library']","['gossip', 'library']",[3697251],[11628]
11635,Green Tea;  Mr. Justice Harbottle,en,4224,"Le Fanu, Joseph Sheridan","['Fanu, Joseph Sheridan Le', 'Fanu, J. Sheridan Le', 'LeFanu, J. S. (Joseph Sheridan)']",1847026761,[],,26930,1589367,1582355,Green Tea and Mr. Justice Harbottle,Green Tea and Mr. Justice Harbottle,J. Sheridan Le Fanu,"Green Tea, Mr. Justice Harbottle","['green', 'tea', 'mr', 'justice', 'harbottle']","['green', 'tea', 'mr', 'justice', 'harbottle']",[1589367],[11635]
